sleepHours,exerciseMinutes,mood,stress,discipline,empathy,label
6,16,5,4,5,2,Baik
7,36,4,1,5,4,Baik
4,24,4,5,4,1,Perlu Perhatian
10,37,2,4,5,1,Baik
7,57,5,5,1,3,Perlu Perhatian
9,11,4,5,5,4,Luar Biasa
10,22,1,1,2,1,Perlu Perhatian
7,52,2,1,5,4,Baik
6,41,5,5,4,5,Baik
5,21,2,2,2,2,Perlu Perhatian
10,20,1,5,1,2,Perlu Perhatian
8,26,5,5,1,2,Perlu Perhatian
8,56,2,3,3,4,Baik
6,30,3,3,2,4,Baik
7,5,1,3,3,3,Perlu Perhatian
4,26,1,2,2,2,Perlu Perhatian
7,39,1,2,2,3,Perlu Perhatian
6,33,3,5,4,2,Baik
8,11,3,3,3,3,Sangat Baik
7,44,4,2,4,3,Baik
8,56,2,1,2,5,Baik
10,52,4,5,1,3,Perlu Perhatian
4,6,2,4,2,4,Perlu Perhatian
10,9,3,5,4,3,Sangat Baik
8,44,3,4,3,2,Sangat Baik
8,16,4,3,3,3,Sangat Baik
5,25,5,4,4,1,Perlu Perhatian
5,20,4,3,3,2,Perlu Perhatian
10,27,2,1,5,1,Baik
9,57,4,4,1,2,Perlu Perhatian
10,45,1,5,1,4,Perlu Perhatian
5,1,2,3,1,4,Perlu Perhatian
8,59,2,5,3,4,Baik
6,53,5,2,3,1,Baik
10,42,3,3,2,5,Baik
8,0,2,4,2,2,Baik
6,50,3,3,1,4,Perlu Perhatian
6,52,4,5,5,2,Baik
5,35,1,1,2,1,Perlu Perhatian
10,50,5,3,2,5,Baik
7,25,3,4,3,1,Baik
4,28,2,2,5,2,Perlu Perhatian
5,20,3,1,1,5,Perlu Perhatian
5,10,2,2,2,5,Perlu Perhatian
7,39,3,3,5,1,Baik
4,10,2,5,5,4,Perlu Perhatian
8,35,4,5,1,2,Perlu Perhatian
9,48,2,4,5,3,Baik
10,58,2,5,5,3,Baik
9,38,1,1,5,1,Perlu Perhatian
8,39,2,5,2,2,Baik
5,34,1,4,1,2,Perlu Perhatian
4,53,5,3,5,1,Perlu Perhatian
5,33,1,3,5,2,Perlu Perhatian
6,54,4,5,2,4,Baik
5,46,1,2,1,1,Perlu Perhatian
5,23,5,3,3,4,Perlu Perhatian
8,53,4,5,2,2,Baik
8,21,3,4,1,1,Perlu Perhatian
8,4,3,5,5,2,Sangat Baik
9,55,1,3,1,1,Perlu Perhatian
6,32,1,4,1,2,Perlu Perhatian
8,57,5,5,1,4,Perlu Perhatian
4,35,5,1,3,4,Perlu Perhatian
9,46,2,4,1,2,Perlu Perhatian
7,19,5,1,3,1,Baik
4,18,2,2,5,3,Perlu Perhatian
10,34,4,4,3,4,Sangat Baik
10,51,1,1,5,4,Perlu Perhatian
4,42,4,3,5,3,Perlu Perhatian
8,16,5,3,3,2,Sangat Baik
7,58,4,2,2,1,Baik
7,44,4,4,4,2,Baik
9,42,4,4,1,5,Perlu Perhatian
7,33,5,4,4,4,Baik
10,8,4,2,1,5,Perlu Perhatian
6,25,2,4,1,4,Perlu Perhatian
8,1,5,3,5,4,Sangat Baik
7,52,4,1,1,5,Perlu Perhatian
9,8,5,3,1,5,Perlu Perhatian
10,8,3,3,3,2,Sangat Baik
6,39,2,1,4,5,Baik
5,16,4,3,3,2,Perlu Perhatian
5,0,3,2,1,2,Perlu Perhatian
6,24,3,1,5,2,Baik
10,60,5,3,3,4,Sangat Baik
9,42,3,5,3,4,Sangat Baik
6,39,2,3,2,5,Baik
8,41,2,2,1,4,Perlu Perhatian
8,24,1,4,5,5,Perlu Perhatian
5,38,2,3,3,4,Perlu Perhatian
7,34,3,4,3,1,Baik
9,2,2,5,5,1,Baik
5,49,5,3,1,5,Perlu Perhatian
7,36,1,1,2,4,Perlu Perhatian
7,43,3,4,3,4,Baik
8,43,1,5,2,2,Perlu Perhatian
10,50,3,1,4,3,Sangat Baik
4,29,5,1,1,5,Perlu Perhatian
10,37,1,1,4,3,Perlu Perhatian
4,33,4,1,4,3,Perlu Perhatian
6,11,3,3,4,5,Baik
8,18,4,3,1,4,Perlu Perhatian
7,36,1,3,1,5,Perlu Perhatian
9,43,4,5,5,3,Luar Biasa
4,58,4,5,2,4,Perlu Perhatian
10,58,1,5,2,1,Perlu Perhatian
7,48,5,2,5,5,Baik
4,60,4,5,5,5,Perlu Perhatian
4,16,4,3,4,4,Perlu Perhatian
4,9,5,3,5,1,Perlu Perhatian
9,56,4,2,3,1,Sangat Baik
8,54,4,2,2,4,Baik
9,48,4,5,5,2,Luar Biasa
5,46,2,4,3,5,Perlu Perhatian
7,11,5,2,3,5,Baik
8,15,4,1,3,3,Sangat Baik
8,23,5,3,3,4,Sangat Baik
8,18,3,1,4,3,Sangat Baik
10,7,3,3,3,3,Sangat Baik
8,30,4,3,4,1,Sangat Baik
9,20,5,2,4,5,Luar Biasa
8,16,5,2,3,3,Sangat Baik
6,22,5,1,2,1,Baik
7,36,2,3,3,4,Baik
8,53,3,1,3,3,Sangat Baik
7,15,5,4,3,5,Baik
6,5,5,1,2,3,Baik
6,7,2,5,1,4,Perlu Perhatian
7,24,2,1,1,3,Perlu Perhatian
4,17,5,5,4,5,Perlu Perhatian
5,24,1,5,4,1,Perlu Perhatian
10,11,5,5,2,5,Baik
4,14,5,4,5,1,Perlu Perhatian
4,58,2,1,1,2,Perlu Perhatian
9,25,2,1,4,5,Baik
10,40,5,4,1,5,Perlu Perhatian
10,44,5,3,2,4,Baik
4,25,5,2,2,3,Perlu Perhatian
8,46,2,1,5,1,Baik
9,31,5,2,5,1,Luar Biasa
9,9,5,4,2,4,Baik
6,15,4,3,4,4,Baik
10,6,1,3,1,3,Perlu Perhatian
4,16,3,3,3,3,Perlu Perhatian
6,22,1,4,5,5,Perlu Perhatian
7,25,4,5,3,2,Baik
5,20,3,5,4,3,Perlu Perhatian
9,21,5,2,5,4,Luar Biasa
7,57,4,5,3,3,Baik
7,6,5,5,4,1,Baik
8,13,2,3,1,2,Perlu Perhatian
5,14,4,3,4,5,Perlu Perhatian
7,52,2,2,5,1,Baik
7,6,4,1,2,1,Baik
5,8,4,2,1,2,Perlu Perhatian
5,50,2,2,3,5,Perlu Perhatian
7,47,3,4,5,4,Baik
5,7,1,4,2,5,Perlu Perhatian
7,49,5,2,4,3,Baik
7,58,4,2,2,1,Baik
8,22,5,2,5,3,Sangat Baik
4,28,2,5,5,4,Perlu Perhatian
7,17,5,4,2,3,Baik
6,30,2,2,4,5,Baik
9,29,5,3,2,3,Baik
10,51,1,3,5,4,Perlu Perhatian
4,38,1,5,5,4,Perlu Perhatian
4,34,1,5,3,4,Perlu Perhatian
4,17,1,1,3,5,Perlu Perhatian
8,58,1,1,1,4,Perlu Perhatian
7,41,1,1,5,1,Perlu Perhatian
8,38,2,5,3,4,Baik
7,16,4,5,2,3,Baik
8,13,5,5,4,3,Sangat Baik
8,30,1,3,2,3,Perlu Perhatian
9,23,2,5,4,5,Baik
6,34,2,3,3,3,Baik
8,43,2,1,1,5,Perlu Perhatian
9,59,4,1,2,5,Baik
5,44,5,1,2,4,Perlu Perhatian
6,33,4,2,2,1,Baik
8,2,3,2,4,4,Sangat Baik
10,36,2,4,3,4,Baik
4,42,3,4,2,5,Perlu Perhatian
5,39,1,4,2,5,Perlu Perhatian
5,25,1,2,1,3,Perlu Perhatian
9,54,4,2,1,3,Perlu Perhatian
5,22,5,4,3,4,Perlu Perhatian
6,43,3,4,3,2,Baik
8,38,5,5,5,2,Sangat Baik
8,14,4,4,1,3,Perlu Perhatian
10,55,1,5,5,2,Perlu Perhatian
4,48,5,3,4,3,Perlu Perhatian
9,3,5,2,5,5,Luar Biasa
4,28,1,4,2,4,Perlu Perhatian
5,21,3,2,5,1,Perlu Perhatian
10,24,1,2,3,4,Perlu Perhatian
4,12,5,2,4,3,Perlu Perhatian
6,17,3,3,2,3,Baik
8,32,3,1,5,4,Sangat Baik
5,15,1,4,4,3,Perlu Perhatian
10,44,5,1,4,2,Luar Biasa
4,41,4,1,2,2,Perlu Perhatian
9,43,5,1,5,3,Luar Biasa
6,1,2,2,4,3,Baik
6,54,4,5,4,2,Baik
4,34,3,2,1,3,Perlu Perhatian
8,41,4,2,4,3,Sangat Baik
4,33,3,1,1,4,Perlu Perhatian
5,29,3,2,5,1,Perlu Perhatian
4,58,4,1,5,2,Perlu Perhatian
6,54,3,5,5,4,Baik
10,12,3,4,3,1,Sangat Baik
4,12,2,1,5,3,Perlu Perhatian
8,17,5,5,4,3,Sangat Baik
10,31,5,4,2,4,Baik
9,31,2,3,1,3,Perlu Perhatian
7,34,4,1,3,5,Baik
4,58,1,1,5,4,Perlu Perhatian
8,38,1,3,5,1,Perlu Perhatian
10,45,1,3,2,4,Perlu Perhatian
8,51,2,1,2,2,Baik
9,28,2,3,3,4,Baik
6,48,3,2,1,3,Perlu Perhatian
8,28,1,4,5,3,Perlu Perhatian
10,52,4,4,3,5,Sangat Baik
8,43,4,4,4,5,Sangat Baik
8,56,1,2,4,5,Perlu Perhatian
8,15,1,3,3,1,Perlu Perhatian
5,55,1,5,5,5,Perlu Perhatian
5,43,2,3,3,1,Perlu Perhatian
6,46,2,1,5,5,Baik
4,56,2,4,2,1,Perlu Perhatian
8,9,5,3,3,4,Sangat Baik
9,29,4,5,5,4,Luar Biasa
4,24,4,1,3,3,Perlu Perhatian
9,38,3,2,3,1,Sangat Baik
4,19,2,2,5,2,Perlu Perhatian
6,4,5,5,5,3,Baik
8,0,5,1,1,4,Perlu Perhatian
8,29,4,4,3,1,Sangat Baik
7,48,2,3,4,5,Baik
9,2,3,1,3,2,Sangat Baik
4,44,2,2,3,4,Perlu Perhatian
4,13,1,5,5,3,Perlu Perhatian
5,55,2,5,3,1,Perlu Perhatian
7,29,1,3,3,2,Perlu Perhatian
10,49,1,5,4,1,Perlu Perhatian
10,3,3,5,5,5,Sangat Baik
5,17,4,1,3,3,Perlu Perhatian
5,36,2,4,2,1,Perlu Perhatian
5,24,1,3,1,4,Perlu Perhatian
9,47,2,1,4,3,Baik
9,0,4,4,3,4,Sangat Baik
6,52,4,1,2,1,Baik
6,45,5,1,3,3,Baik
5,14,4,5,3,4,Perlu Perhatian
7,8,3,4,5,5,Baik
4,14,1,3,5,5,Perlu Perhatian
9,48,5,3,5,1,Luar Biasa
7,56,3,4,2,3,Baik
8,23,2,5,3,2,Baik
9,3,1,2,1,3,Perlu Perhatian
9,11,4,1,4,5,Luar Biasa
6,58,1,5,5,4,Perlu Perhatian
4,57,2,4,5,2,Perlu Perhatian
4,36,5,1,3,1,Perlu Perhatian
10,60,5,3,3,2,Sangat Baik
10,36,5,2,2,1,Baik
10,42,4,3,2,2,Baik
10,59,3,4,5,1,Sangat Baik
8,5,3,1,3,1,Sangat Baik
8,38,1,4,1,2,Perlu Perhatian
9,55,4,1,4,2,Luar Biasa
5,45,5,5,3,1,Perlu Perhatian
6,23,5,2,3,5,Baik
6,10,2,5,2,2,Baik
10,12,2,5,4,3,Baik
9,33,5,4,5,4,Luar Biasa
7,24,5,2,3,1,Baik
5,6,4,1,5,1,Perlu Perhatian
9,51,3,1,3,4,Sangat Baik
5,3,2,3,5,5,Perlu Perhatian
5,58,3,1,4,4,Perlu Perhatian
5,7,4,4,2,2,Perlu Perhatian
9,19,5,5,4,4,Luar Biasa
10,28,3,5,1,1,Perlu Perhatian
6,53,5,5,2,4,Baik
6,52,5,2,4,3,Baik
10,50,1,1,1,2,Perlu Perhatian
5,44,3,4,3,4,Perlu Perhatian
7,45,3,2,3,1,Baik
4,9,5,3,5,2,Perlu Perhatian
9,42,4,4,2,1,Baik
4,33,1,4,3,5,Perlu Perhatian
10,56,5,4,2,3,Baik
7,25,2,5,3,5,Baik
9,40,2,4,5,3,Baik
